window_size,Machining_Process,num_windows,k,silhouette_score,davies_bouldin_score,calinski_harabasz_score,bic,aic,cluster_sizes
10,Layer 1 Down,461,2,0.3741716363983285,2.156862532262539,84.96259776566448,43623.51392202328,40502.79839956081,"{np.int64(0): np.int64(106), np.int64(1): np.int64(355)}"
10,Layer 1 Down,461,3,0.3075012671231874,1.8485158295546513,84.58363276289263,44356.25497939931,39673.114996684104,"{np.int64(0): np.int64(95), np.int64(1): np.int64(299), np.int64(2): np.int64(67)}"
10,Layer 1 Down,461,4,0.30689613550773326,1.7475915051436233,77.54759862466229,45147.243725900924,38901.679282932986,"{np.int64(0): np.int64(93), np.int64(1): np.int64(292), np.int64(2): np.int64(66), np.int64(3): np.int64(10)}"
10,Layer 1 Down,461,5,0.3342178058330857,1.731450679329603,75.13340037963307,41197.852458298046,33389.863555077376,"{np.int64(0): np.int64(60), np.int64(1): np.int64(281), np.int64(2): np.int64(34), np.int64(3): np.int64(10), np.int64(4): np.int64(76)}"
10,Layer 1 Down,461,6,0.34136600936686895,1.6318872322956224,77.25117147045515,43293.70883408139,33923.29547060799,"{np.int64(0): np.int64(31), np.int64(1): np.int64(287), np.int64(2): np.int64(33), np.int64(3): np.int64(11), np.int64(4): np.int64(68), np.int64(5): np.int64(31)}"
10,Layer 1 Down,461,7,0.13249722097487274,2.4398667497008284,65.37767814158595,41404.71636076119,30471.878537035056,"{np.int64(0): np.int64(225), np.int64(1): np.int64(64), np.int64(2): np.int64(33), np.int64(3): np.int64(10), np.int64(4): np.int64(66), np.int64(5): np.int64(32), np.int64(6): np.int64(31)}"
10,Layer 1 Down,461,8,0.3318624344016239,1.526646840573119,68.49783242017679,41043.00632421991,28547.744040241043,"{np.int64(0): np.int64(27), np.int64(1): np.int64(274), np.int64(2): np.int64(33), np.int64(3): np.int64(66), np.int64(4): np.int64(23), np.int64(5): np.int64(13), np.int64(6): np.int64(19), np.int64(7): np.int64(6)}"
10,Layer 1 Down,461,9,0.33281486721722164,1.4846088325837767,69.45548305045556,39012.075152923935,24954.388408692328,"{np.int64(0): np.int64(30), np.int64(1): np.int64(269), np.int64(2): np.int64(33), np.int64(3): np.int64(62), np.int64(4): np.int64(20), np.int64(5): np.int64(14), np.int64(6): np.int64(17), np.int64(7): np.int64(6), np.int64(8): np.int64(10)}"
10,Layer 1 Up,675,2,0.2823506396836658,2.565695699890718,89.75980704912595,65471.15825793424,61547.872929566016,"{np.int64(0): np.int64(217), np.int64(1): np.int64(458)}"
10,Layer 1 Up,675,3,0.22855848511961632,2.0946077217802763,96.02512210163873,63595.37961235427,57708.19426345649,"{np.int64(0): np.int64(153), np.int64(1): np.int64(151), np.int64(2): np.int64(371)}"
10,Layer 1 Up,675,4,0.18914945365526,2.4261363072180897,79.49376592496203,66519.57251198267,58668.487142555336,"{np.int64(0): np.int64(114), np.int64(1): np.int64(56), np.int64(2): np.int64(382), np.int64(3): np.int64(123)}"
