window_size,Machining_Process,best_k,best_bic,num_windows
10,Layer 1 Down,9,39012.075152923935,461
10,Layer 1 Up,7,63355.91776603943,675
10,Layer 2 Down,5,35962.60132434014,448
10,Layer 2 Up,7,46176.21282664797,567
10,Layer 3 Down,7,33441.30089378082,424
10,Layer 3 Up,9,38433.74677536141,497
20,Layer 1 Down,9,15992.498666340916,218
20,Layer 1 Up,9,30596.701632347627,324
20,Layer 2 Down,9,14954.096581978258,213
20,Layer 2 Up,9,21778.59149323093,273
20,Layer 3 Down,9,15718.106405979457,201
20,Layer 3 Up,6,18155.199826176533,239
30,Layer 1 Down,6,10424.99692394771,138
30,Layer 1 Up,9,19244.161122863614,208
30,Layer 2 Down,8,9663.477515403616,135
30,Layer 2 Up,8,12715.065068117834,175
30,Layer 3 Down,8,7072.480165572339,127
30,Layer 3 Up,8,11683.865784804671,150
