experiment_id,Layer 1 Down_cluster_0_ratio,Layer 1 Up_cluster_0_ratio,Layer 2 Down_cluster_0_ratio,Layer 2 Up_cluster_0_ratio,Layer 3 Down_cluster_0_ratio,Layer 3 Up_cluster_0_ratio,Layer 1 Down_cluster_1_ratio,Layer 1 Up_cluster_1_ratio,Layer 2 Down_cluster_1_ratio,Layer 2 Up_cluster_1_ratio,Layer 3 Down_cluster_1_ratio,Layer 3 Up_cluster_1_ratio,Layer 1 Down_cluster_2_ratio,Layer 1 Up_cluster_2_ratio,Layer 2 Down_cluster_2_ratio,Layer 2 Up_cluster_2_ratio,Layer 3 Down_cluster_2_ratio,Layer 3 Up_cluster_2_ratio,Layer 1 Down_cluster_3_ratio,Layer 1 Up_cluster_3_ratio,Layer 2 Down_cluster_3_ratio,Layer 2 Up_cluster_3_ratio,Layer 3 Down_cluster_3_ratio,Layer 3 Up_cluster_3_ratio,Layer 1 Down_cluster_4_ratio,Layer 1 Up_cluster_4_ratio,Layer 2 Down_cluster_4_ratio,Layer 2 Up_cluster_4_ratio,Layer 3 Down_cluster_4_ratio,Layer 3 Up_cluster_4_ratio,Layer 1 Down_cluster_5_ratio,Layer 1 Up_cluster_5_ratio,Layer 2 Up_cluster_5_ratio,Layer 3 Down_cluster_5_ratio,Layer 3 Up_cluster_5_ratio,Layer 1 Down_cluster_6_ratio,Layer 1 Up_cluster_6_ratio,Layer 2 Up_cluster_6_ratio,Layer 3 Down_cluster_6_ratio,Layer 3 Up_cluster_6_ratio,Layer 1 Down_cluster_7_ratio,Layer 3 Up_cluster_7_ratio,Layer 1 Down_cluster_8_ratio,Layer 3 Up_cluster_8_ratio
experiment_01,0.2857142857142857,0.0,0.76,0.0,0.7407407407407407,0.02702702702702703,0.7142857142857143,0.7272727272727273,0.0,0.28205128205128205,0.0,0.0,0.0,0.21212121212121213,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.717948717948718,0.0,0.10810810810810811,0.0,0.0,0.24,0.0,0.037037037037037035,0.0,0.0,0.06060606060606061,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8108108108108109,0.0,0.0
experiment_02,0.0,0.21875,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.5263157894736842,0.3157894736842105,0.6,0.0,0.7307692307692307,0.09523809523809523,0.3157894736842105,0.0,0.16666666666666666,0.46875,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.19230769230769232,0.14285714285714285,0.0,0.05263157894736842,0.0,0.25,0.19047619047619047,0.0,0.5789473684210527,0.0,0.0625,0.38095238095238093,0.15789473684210525,0.0,0.0,0.0,0.0,0.05263157894736842
experiment_03,0.0625,0.044444444444444446,0.30434782608695654,0.08,0.5555555555555556,0.0975609756097561,0.375,0.35555555555555557,0.06521739130434782,0.04,0.1111111111111111,0.34146341463414637,0.09375,0.13333333333333333,0.3695652173913043,0.0,0.2777777777777778,0.1951219512195122,0.375,0.3111111111111111,0.043478260869565216,0.36,0.0,0.024390243902439025,0.0,0.0,0.21739130434782608,0.4,0.0,0.0,0.0,0.08888888888888889,0.0,0.05555555555555555,0.2682926829268293,0.0625,0.06666666666666667,0.12,0.0,0.0,0.03125,0.07317073170731707,0.0,0.0
experiment_04,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.4807692307692308,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_06,0.16666666666666666,0.0,0.5,0.0,0.38235294117647056,0.25,0.75,0.3783783783783784,0.0,0.39473684210526316,0.0,0.08333333333333333,0.0,0.3783783783783784,0.35,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.47368421052631576,0.058823529411764705,0.125,0.0,0.0,0.15,0.07894736842105263,0.0,0.08333333333333333,0.0,0.16216216216216217,0.05263157894736842,0.5588235294117647,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.08333333333333333,0.041666666666666664
experiment_07,0.0,0.2,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.16666666666666666,0.0,0.0,0.4666666666666667,0.36666666666666664,0.6666666666666666,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0
experiment_08,0.0,0.25,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.3076923076923077,0.030303030303030304,0.125,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.3,0.6,0.5,0.07692307692307693,0.0,0.125,0.0,0.4,0.0,0.46153846153846156,0.15151515151515152,0.5,0.5,0.0,0.25,0.3939393939393939,0.25,0.0,0.0,0.0,0.24242424242424243,0.0,0.0,0.0,0.0,0.0,0.2
experiment_09,0.2777777777777778,0.2,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.2,0.0,0.0,0.06666666666666667,0.058823529411764705,0.0,0.0,0.3,0.1111111111111111,0.0,0.11764705882352941,0.0,0.0,0.4,0.1111111111111111,0.13333333333333333,0.8235294117647058,0.07692307692307693,0.4666666666666667,0.0,0.1111111111111111,0.4666666666666667,0.46153846153846156,0.3333333333333333,0.0,0.2222222222222222,0.13333333333333333,0.0,0.0,0.3,0.0,0.0,0.16666666666666666,0.0
experiment_10,0.3684210526315789,0.13793103448275862,0.0,0.05128205128205128,0.0,0.0,0.10526315789473684,0.034482758620689655,0.0,0.10256410256410256,0.2222222222222222,0.36,0.21052631578947367,0.2413793103448276,0.55,0.0,0.1111111111111111,0.0,0.10526315789473684,0.20689655172413793,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.45,0.46153846153846156,0.0,0.04,0.0,0.3103448275862069,0.05128205128205128,0.4444444444444444,0.44,0.0,0.06896551724137931,0.3333333333333333,0.2222222222222222,0.16,0.0,0.0,0.0,0.0
