experiment_id,Layer 1 Down_cluster_0_ratio,Layer 1 Up_cluster_0_ratio,Layer 2 Down_cluster_0_ratio,Layer 2 Up_cluster_0_ratio,Layer 3 Down_cluster_0_ratio,Layer 3 Up_cluster_0_ratio,Layer 1 Down_cluster_1_ratio,Layer 1 Up_cluster_1_ratio,Layer 2 Down_cluster_1_ratio,Layer 2 Up_cluster_1_ratio,Layer 3 Down_cluster_1_ratio,Layer 3 Up_cluster_1_ratio,Layer 1 Down_cluster_2_ratio,Layer 1 Up_cluster_2_ratio,Layer 2 Down_cluster_2_ratio,Layer 2 Up_cluster_2_ratio,Layer 3 Down_cluster_2_ratio,Layer 3 Up_cluster_2_ratio,Layer 1 Down_cluster_3_ratio,Layer 1 Up_cluster_3_ratio,Layer 2 Down_cluster_3_ratio,Layer 2 Up_cluster_3_ratio,Layer 3 Down_cluster_3_ratio,Layer 3 Up_cluster_3_ratio,Layer 1 Down_cluster_4_ratio,Layer 1 Up_cluster_4_ratio,Layer 2 Down_cluster_4_ratio,Layer 2 Up_cluster_4_ratio,Layer 3 Down_cluster_4_ratio,Layer 3 Up_cluster_4_ratio,Layer 1 Down_cluster_5_ratio,Layer 1 Up_cluster_5_ratio,Layer 2 Down_cluster_5_ratio,Layer 2 Up_cluster_5_ratio,Layer 3 Down_cluster_5_ratio,Layer 3 Up_cluster_5_ratio,Layer 1 Down_cluster_6_ratio,Layer 1 Up_cluster_6_ratio,Layer 2 Down_cluster_6_ratio,Layer 2 Up_cluster_6_ratio,Layer 3 Down_cluster_6_ratio,Layer 1 Down_cluster_7_ratio,Layer 1 Up_cluster_7_ratio,Layer 2 Down_cluster_7_ratio,Layer 2 Up_cluster_7_ratio,Layer 3 Down_cluster_7_ratio,Layer 1 Down_cluster_8_ratio,Layer 1 Up_cluster_8_ratio,Layer 2 Down_cluster_8_ratio,Layer 2 Up_cluster_8_ratio,Layer 3 Down_cluster_8_ratio
experiment_01,1.0,0.0625,0.0,0.05263157894736842,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.9473684210526315,0.0
experiment_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4444444444444444,0.07142857142857142,0.13333333333333333,0.08333333333333333,0.0,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.1,0.0,0.0,0.42857142857142855,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,0.0,0.4166666666666667,0.3,0.2222222222222222,0.5,0.2,0.0,0.0,0.4444444444444444
experiment_03,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.06666666666666667,0.36363636363636365,0.13636363636363635,0.0,0.5,0.65,0.6,0.09090909090909091,0.0,0.0,0.25,0.15,0.0,0.4090909090909091,0.09090909090909091,0.5,0.0,0.0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.0,0.0,0.22727272727272727,0.16666666666666666,0.0
experiment_04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_06,0.8181818181818182,0.0,0.0,0.5555555555555556,0.0,0.45454545454545453,0.0,0.16666666666666666,0.5555555555555556,0.0,0.5625,0.18181818181818182,0.0,0.0,0.0,0.16666666666666666,0.0,0.09090909090909091,0.18181818181818182,0.7777777777777778,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.4444444444444444,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0
experiment_07,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.42857142857142855,0.0,0.0,0.5,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
experiment_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3125,0.0,0.25,0.0,1.0,0.0,0.1875,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.75,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
experiment_09,0.0,0.2857142857142857,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.8333333333333334,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.7142857142857143,0.25,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
experiment_10,0.1111111111111111,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.125,0.5833333333333334,0.2222222222222222,0.14285714285714285,0.0,0.15789473684210525,0.25,0.3333333333333333,0.0,0.07142857142857142,0.0,0.5263157894736842,0.0,0.0,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.15789473684210525,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.375,0.08333333333333333,0.5555555555555556,0.0,0.2222222222222222,0.0,0.25,0.0,0.0,0.2222222222222222,0.15789473684210525,0.0,0.0,0.35714285714285715,0.0,0.0,0.0
experiment_11,1.0,0.0,0.13333333333333333,0.3958333333333333,0.2857142857142857,0.6470588235294118,0.0,0.07692307692307693,0.8666666666666667,0.0,0.7142857142857143,0.35294117647058826,0.0,0.07692307692307693,0.0,0.020833333333333332,0.0,0.0,0.0,0.8076923076923077,0.0,0.125,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0
experiment_12,0.6956521739130435,0.0,0.09090909090909091,0.7,0.0,0.8095238095238095,0.08695652173913043,0.3,0.7727272727272727,0.0,0.7083333333333334,0.19047619047619047,0.043478260869565216,0.06666666666666667,0.0,0.0,0.25,0.0,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
