experiment_id,Layer 1 Down_cluster_0_ratio,Layer 1 Up_cluster_0_ratio,Layer 2 Down_cluster_0_ratio,Layer 2 Up_cluster_0_ratio,Layer 3 Down_cluster_0_ratio,Layer 3 Up_cluster_0_ratio,Layer 1 Down_cluster_1_ratio,Layer 1 Up_cluster_1_ratio,Layer 2 Down_cluster_1_ratio,Layer 2 Up_cluster_1_ratio,Layer 3 Down_cluster_1_ratio,Layer 3 Up_cluster_1_ratio,Layer 1 Down_cluster_2_ratio,Layer 2 Down_cluster_2_ratio,Layer 2 Up_cluster_2_ratio,Layer 3 Down_cluster_2_ratio,Layer 1 Down_cluster_3_ratio,Layer 2 Down_cluster_3_ratio,Layer 2 Up_cluster_3_ratio,Layer 3 Down_cluster_3_ratio,Layer 2 Up_cluster_4_ratio,Layer 3 Down_cluster_4_ratio,Layer 3 Down_cluster_5_ratio
experiment_01,1.0,0.0,0.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_02,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3333333333333333,0.4,1.0,1.0,0.875,0.3333333333333333,0.0,0.0,0.125,0.0,0.0,0.3333333333333333,0.6,0.0
experiment_03,0.7,0.14285714285714285,0.0,0.42857142857142855,0.6,0.0,0.2,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.0,0.0,0.0,0.4,0.0
experiment_04,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_05,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_06,1.0,0.0,0.0,0.8333333333333334,0.4,0.2857142857142857,0.0,1.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.4,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.2
experiment_07,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0
experiment_08,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.7,0.0,1.0
experiment_09,0.0,1.0,0.4,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0
experiment_10,0.2,0.6666666666666666,0.0,0.0,0.0,0.2857142857142857,0.0,0.3333333333333333,0.0,0.75,0.6,0.7142857142857143,0.0,1.0,0.0,0.4,0.8,0.0,0.25,0.0,0.0,0.0,0.0
experiment_11,1.0,0.058823529411764705,0.2,0.78125,0.8888888888888888,0.2727272727272727,0.0,0.9411764705882353,0.8,0.15625,0.1111111111111111,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
experiment_12,0.7333333333333333,0.0,0.14285714285714285,1.0,0.6666666666666666,0.0,0.13333333333333333,1.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
experiment_13,0.8823529411764706,0.1111111111111111,0.0,0.5454545454545454,0.8461538461538461,0.13333333333333333,0.11764705882352941,0.8888888888888888,1.0,0.45454545454545453,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0
experiment_14,1.0,0.22727272727272727,0.0,0.7777777777777778,0.6875,0.0,0.0,0.7727272727272727,0.75,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.0,0.3125,0.0
experiment_15,1.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.0,1.0,0.4444444444444444,0.6666666666666666,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
experiment_16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_17,1.0,0.0,0.0,0.4375,0.7272727272727273,0.0,0.0,1.0,1.0,0.3125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2727272727272727,0.0
experiment_18,1.0,0.08695652173913043,0.16666666666666666,0.631578947368421,0.5238095238095238,0.2,0.0,0.9130434782608695,0.75,0.3684210526315789,0.09523809523809523,0.8,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.14285714285714285,0.0,0.23809523809523808,0.0
