experiment_id,Layer 1 Down_cluster_0_ratio,Layer 1 Up_cluster_0_ratio,Layer 2 Down_cluster_0_ratio,Layer 2 Up_cluster_0_ratio,Layer 3 Down_cluster_0_ratio,Layer 3 Up_cluster_0_ratio,Layer 1 Down_cluster_1_ratio,Layer 1 Up_cluster_1_ratio,Layer 2 Down_cluster_1_ratio,Layer 2 Up_cluster_1_ratio,Layer 3 Down_cluster_1_ratio,Layer 3 Up_cluster_1_ratio,Layer 2 Up_cluster_2_ratio
experiment_01,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9743589743589743,0.0,1.0,0.02564102564102564
experiment_02,0.6666666666666666,0.5,0.2692307692307692,0.047619047619047616,0.3157894736842105,0.2631578947368421,0.3333333333333333,0.5,0.7307692307692307,0.6190476190476191,0.6842105263157895,0.7368421052631579,0.3333333333333333
experiment_03,0.875,0.9333333333333333,0.10869565217391304,0.0,1.0,0.024390243902439025,0.125,0.06666666666666667,0.8913043478260869,0.88,0.0,0.975609756097561,0.12
experiment_04,0.0,0.8653846153846154,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.0,0.0,0.0,0.0,0.0
experiment_05,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0
experiment_06,0.9166666666666666,1.0,0.0,0.05263157894736842,0.9411764705882353,0.16666666666666666,0.08333333333333333,0.0,1.0,0.7631578947368421,0.058823529411764705,0.8333333333333334,0.18421052631578946
experiment_07,0.2,0.3,0.0,0.16666666666666666,0.0,0.0,0.8,0.7,0.0,0.3333333333333333,0.0,0.0,0.5
experiment_08,0.6,0.5,0.6923076923076923,0.0,0.125,1.0,0.4,0.5,0.3076923076923077,0.3939393939393939,0.875,0.0,0.6060606060606061
experiment_09,0.2222222222222222,0.3333333333333333,0.47058823529411764,0.0,0.3333333333333333,0.6,0.7777777777777778,0.6666666666666666,0.5294117647058824,0.07692307692307693,0.6666666666666666,0.4,0.9230769230769231
experiment_10,0.7368421052631579,0.6206896551724138,0.05,0.05128205128205128,0.5555555555555556,0.2,0.2631578947368421,0.3793103448275862,0.95,0.7692307692307693,0.4444444444444444,0.8,0.1794871794871795
experiment_11,1.0,0.9629629629629629,0.0625,0.01020408163265306,0.9,0.14285714285714285,0.0,0.037037037037037035,0.9375,0.9795918367346939,0.1,0.8571428571428571,0.01020408163265306
experiment_12,0.8541666666666666,1.0,0.06521739130434782,0.0,0.9183673469387755,0.0,0.14583333333333334,0.0,0.9347826086956522,1.0,0.08163265306122448,1.0,0.0
experiment_13,0.9433962264150944,0.9464285714285714,0.0,0.0,1.0,0.10416666666666667,0.05660377358490566,0.05357142857142857,1.0,1.0,0.0,0.8958333333333334,0.0
experiment_14,1.0,0.9142857142857143,0.1,0.05357142857142857,0.9615384615384616,0.0,0.0,0.08571428571428572,0.9,0.9464285714285714,0.038461538461538464,1.0,0.0
experiment_15,1.0,0.95,0.22580645161290322,0.07692307692307693,0.7272727272727273,0.13043478260869565,0.0,0.05,0.7741935483870968,0.9230769230769231,0.2727272727272727,0.8695652173913043,0.0
experiment_16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
experiment_17,1.0,1.0,0.0,0.12,0.9444444444444444,0.0,0.0,0.0,1.0,0.84,0.05555555555555555,1.0,0.04
experiment_18,1.0,0.958904109589041,0.02631578947368421,0.0,0.8939393939393939,0.12698412698412698,0.0,0.0410958904109589,0.9736842105263158,0.9661016949152542,0.10606060606060606,0.873015873015873,0.03389830508474576
